split,case_index,bank_id,selected_index,selected_row,selected_col
train,0,0,0,0,0
train,0,1,0,0,0
train,0,2,0,0,0
train,0,3,0,0,0
train,0,4,0,0,0
train,0,5,0,0,0
train,0,6,0,0,0
train,0,7,0,0,0
train,0,8,0,0,0
train,0,9,0,0,0
train,0,10,0,0,0
train,0,11,0,0,0
train,0,12,0,0,0
train,0,13,0,0,0
train,0,14,0,0,0
train,0,15,0,0,0
train,0,16,0,0,0
train,0,17,24,2,0
train,0,18,0,0,0
train,0,19,0,0,0
train,0,20,0,0,0
train,0,21,0,0,0
train,0,22,0,0,0
train,0,23,0,0,0
train,1,0,0,0,0
train,1,1,0,0,0
train,1,2,0,0,0
train,1,3,0,0,0
train,1,4,0,0,0
train,1,5,0,0,0
train,1,6,0,0,0
train,1,7,92,7,1
train,1,8,0,0,0
train,1,9,0,0,0
train,1,10,0,0,0
train,1,11,0,0,0
train,1,12,32,2,8
train,1,13,0,0,0
train,1,14,0,0,0
train,1,15,0,0,0
train,1,16,0,0,0
train,1,17,0,0,0
train,1,18,0,0,0
train,1,19,0,0,0
train,1,20,0,0,0
train,1,21,0,0,0
train,1,22,0,0,0
train,1,23,0,0,0
train,2,0,0,0,0
train,2,1,0,0,0
train,2,2,0,0,0
train,2,3,0,0,0
train,2,4,0,0,0
train,2,5,55,3,10
train,2,6,0,0,0
train,2,7,0,0,0
train,2,8,0,0,0
train,2,9,0,0,0
train,2,10,0,0,0
train,2,11,0,0,0
train,2,12,0,0,0
train,2,13,0,0,0
train,2,14,0,0,0
train,2,15,0,0,0
train,2,16,0,0,0
train,2,17,13,1,1
train,2,18,0,0,0
train,2,19,0,0,0
train,2,20,0,0,0
train,2,21,0,0,0
train,2,22,0,0,0
train,2,23,0,0,0
test,0,0,0,0,0
test,0,1,0,0,0
test,0,2,0,0,0
test,0,3,0,0,0
test,0,4,0,0,0
test,0,5,0,0,0
test,0,6,0,0,0
test,0,7,153,11,10
test,0,8,0,0,0
test,0,9,0,0,0
test,0,10,0,0,0
test,0,11,0,0,0
test,0,12,0,0,0
test,0,13,0,0,0
test,0,14,0,0,0
test,0,15,0,0,0
test,0,16,0,0,0
test,0,17,0,0,0
test,0,18,0,0,0
test,0,19,0,0,0
test,0,20,0,0,0
test,0,21,0,0,0
test,0,22,0,0,0
test,0,23,15,1,4
arc-gen,0,0,0,0,0
arc-gen,0,1,0,0,0
arc-gen,0,2,0,0,0
arc-gen,0,3,0,0,0
arc-gen,0,4,0,0,0
arc-gen,0,5,107,7,2
arc-gen,0,6,0,0,0
arc-gen,0,7,0,0,0
arc-gen,0,8,0,0,0
arc-gen,0,9,0,0,0
arc-gen,0,10,0,0,0
