task_id,candidate_model_path,candidate_zip_path,upload_submission_path,base_entry_replaced,inspection_passed,failure_reason
task157,outputs\candidates\gather_rewrite_global_conservative\task157_plac_idx_963_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task157_plac_idx_963_dtype_compress.zip,,task157.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_combined_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_combined_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_combo_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_combo_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3047_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3047_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3056_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3056_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3061_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3061_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3066_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3066_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3071_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3071_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3079_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3079_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3083_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3083_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3087_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3087_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3091_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3091_dtype_compress.zip,,task233.onnx,True,
task233,outputs\candidates\gather_rewrite_global_conservative\task233_onnx_Gather_3095_dtype_compress.onnx,outputs\ablation_submissions\gather_combined_20260610\task233_onnx_Gather_3095_dtype_compress.zip,,task233.onnx,True,
